Truss Material Report

Company Name        Teck Guan Steel S/B      
Client Name         Zirbad Resources Sdn Bhd  
Job Number          2674    
Dwg Number          T-2674-Akademik 3-01 Truss.dwg
Current Date        19-01-2026


Material Summary by Truss

Truss  ID      Member           Qty    Length    
T6     T1      MB10010            4      2608     
T6     T2      MB10010            4      2608     
T6     W1      MB7510             4       150      
T6     W2      MB7510             4       566      
T6     W3      MB7510             4       914      
T6     W4      MB7510             4       566      
T6     W5      MB7510             4       150      

T7     B1      MB10010            1      7750     
T7     H1      MB10010            1      5521      
T7     T1      MB10010            1      2608      
T7     T2      MB10010            1      2608      
T7     W1      MB7510             1       150      
T7     W10     MB7510             1       566      
T7     W11     MB7510             1       150      
T7     W2      MB7510             1       566      
T7     W3      MB7510             1      1310      
T7     W4      MB7510             1       574      
T7     W5      MB7510             1      1310      
T7     W6      MB7510             1       574      
T7     W7      MB7510             1      1310      
T7     W8      MB7510             1       574      
T7     W9      MB7510             1      1310      

T8     B1      MB10010            1      7750     
T8     H1      MB10010            1      3896      
T8     T1      MB10010            1      3271      
T8     T2      MB10010            1      3271      
T8     W1      MB7510             1       150      
T8     W10     MB7510             1       953      
T8     W11     MB7510             1      1221      
T8     W12     MB7510             1       945      
T8     W13     MB7510             1      1010      
T8     W14     MB7510             1       528      
T8     W15     MB7510             1       150      
T8     W2      MB7510             1       528      
T8     W3      MB7510             1      1010      
T8     W4      MB7510             1       945      
T8     W5      MB7510             1      1221      
T8     W6      MB7510             1       953      
T8     W7      MB7510             1      1221      
T8     W8      MB7510             1       953      
T8     W9      MB7510             1      1221      

T9     B1      MB10010            1      7750     
T9     H1      MB10010            1      2472      
T9     T1      MB10010            1      3215      
T9     T2      MB10010            1      3215      
T9     W1      MB7510             1       150      
T9     W10     MB7510             1       694      
T9     W11     MB7510             1       150      
T9     W2      MB7510             1       694      
T9     W3      MB7510             1      1400      
T9     W4      MB7510             1      1277      
T9     W5      MB7510             1      1622      
T9     W6      MB7510             1      1285      
T9     W7      MB7510             1      1622      
T9     W8      MB7510             1      1277      
T9     W9      MB7510             1      1400      

TS1    B1      MB10010            1      6355     
TS1    H1      MB10010            1      1208      
TS1    T1      MB10010            1      3032      
TS1    T2      MB10010            1      3032      
TS1    W1      MB7510             1       678      
TS1    W2      MB7510             1      1364      
TS1    W3      MB7510             1      1291      
TS1    W4      MB7510             1      1539      
TS1    W5      MB7510             1      1291      
TS1    W6      MB7510             1      1364      
TS1    W7      MB7510             1       678      

DEMO1  B99     MB99990            1      9990    
DEMO1  T99     MB88880            1      8880    
DEMO1  W99     UB77770            1      7770    
DEMO1  W98     MB66660            1      6660    

Materials Summary

MB10010                               1739869   
MB10016                                 68791    
MB7510                                 929010   
UB10010                                  9600     
                                                

Parts Summary

Part Name                     P/No.       Qty


Peak Plate (New)                       48 Pcs
